0.0,0.0,0.0,498.0,0.0,374.0,425.0,425.0,0.0,259.0
0.0,0.0,468.0,285.0,54.0,372.0,231.0,0.0,0.0,0.0
0.0,468.0,0.0,295.0,0.0,122.0,441.0,24.0,0.0,0.0
498.0,285.0,295.0,0.0,0.0,391.0,485.0,399.0,187.0,146.0
0.0,54.0,0.0,0.0,0.0,134.0,430.0,147.0,0.0,0.0
374.0,372.0,122.0,391.0,134.0,0.0,301.0,0.0,288.0,0.0
425.0,231.0,441.0,485.0,430.0,301.0,0.0,0.0,0.0,0.0
425.0,0.0,24.0,399.0,147.0,0.0,0.0,0.0,0.0,107.0
0.0,0.0,0.0,187.0,0.0,288.0,0.0,0.0,0.0,281.0
259.0,0.0,0.0,146.0,0.0,0.0,0.0,107.0,281.0,0.0
